author/description,author/location,retweet/extendedEntities/media/2/original_info/focus_rects/4/x,retweetCount,text,twitterUrl,type,url
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,13,"us before Daylight Savings: ☕️☕️
us after: ☕️☕️☕️☕️",https://twitter.com/peetscoffee/status/1588647495584075777,tweet,https://x.com/peetscoffee/status/1588647495584075777
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,6,Fully entering our 𝖍𝖔𝖙 𝖈𝖔𝖋𝖋𝖊𝖊 𝖊𝖗𝖆.,https://twitter.com/peetscoffee/status/1588576815102173185,tweet,https://x.com/peetscoffee/status/1588576815102173185
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,6,"Say hello to the *NEW* Holiday Spice Cold Brew Oat Latte with Brown Sugar Jelly, a sweet twist on a Holiday favorite. Our aromatic Holiday Spice syrup is combined with creamy oat milk and smooth Cold Brew, all over a scoop of Brown Sugar Jelly and ice. https://t.co/b36RAflEhG",https://twitter.com/peetscoffee/status/1588221100974129153,tweet,https://x.com/peetscoffee/status/1588221100974129153
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,10,"🌟 HOLIDAY DROP 🌟 Holiday Spice Lattes and Peppermint Mochas are BACK. And this year, amp up your Holiday Spice Cold Brew Oat Latte with a scoop of Brown Sugar Jelly. After all, you’ve been sooooo good this year. https://t.co/eQMm2YInLS",https://twitter.com/peetscoffee/status/1587821942484398081,tweet,https://x.com/peetscoffee/status/1587821942484398081
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,TOMORROW. ✨ https://t.co/fUeiEtuQgc,https://twitter.com/peetscoffee/status/1587480148563185664,tweet,https://x.com/peetscoffee/status/1587480148563185664
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,4,Our coffee is scary good. 👻 Happy Halloween! https://t.co/ptycssgSwg,https://twitter.com/peetscoffee/status/1587119152833208321,tweet,https://x.com/peetscoffee/status/1587119152833208321
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,"Trick-or-treating ourselves to some Peet's today. How are you celebrating Halloween weekend? 🎃❤️
(Instagram: halloweenherbivore) https://t.co/gYt05CQlcw",https://twitter.com/peetscoffee/status/1586749775105339392,tweet,https://x.com/peetscoffee/status/1586749775105339392
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,3,"What's your favorite part about our Chicken &amp; Waffles Sandwich? For us, it's alllllll of the above. 🤤 https://t.co/fKBoOqGxiG",https://twitter.com/peetscoffee/status/1586387392189054976,tweet,https://x.com/peetscoffee/status/1586387392189054976
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"""...(the founder’s) radical creativity and adventurous drive is still upheld today."" 
It certainly is. Thank you @sanfranmag! 
https://t.co/9ZeFCqXDrb",https://twitter.com/peetscoffee/status/1586076802954338304,tweet,https://x.com/peetscoffee/status/1586076802954338304
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"⠀ 🎃🎃🎃　　  🎃🎃🎃
🎃　　     🎃 🎃　         🎃
🎃       pumpkin lattes      🎃　
  🎃       as self care     🎃
　　🎃                     🎃
　　　  🎃　⠀   🎃
　        　     🎃",https://twitter.com/peetscoffee/status/1585759190542614528,tweet,https://x.com/peetscoffee/status/1585759190542614528
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,20,"RT @camsghassemi: I lay in bed at night and think about how good the morning cup of coffee is going to be…

Anyone else?",https://twitter.com/peetscoffee/status/1585722992964739073,tweet,https://x.com/peetscoffee/status/1585722992964739073
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,4,"ONE WEEK LEFT, and then Pumpkin Lattes and Iced Caramel Apple Lattes are moving to the Peet’s app. We know you want to keep those Fall feels happening a little bit longer, Peetniks. https://t.co/mdAbyCVC8l",https://twitter.com/peetscoffee/status/1585662620442546177,tweet,https://x.com/peetscoffee/status/1585662620442546177
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,7,About to win every costume contest. https://t.co/N0zH5ecSxT,https://twitter.com/peetscoffee/status/1585397961512873985,tweet,https://x.com/peetscoffee/status/1585397961512873985
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,0,It's #NationalPumpkinDay! What are you beverage are you pairing with Pumpkin bread to celebrate? 🎃,https://twitter.com/peetscoffee/status/1585316535697973248,tweet,https://x.com/peetscoffee/status/1585316535697973248
