favouritesCount,followers,location,mediaCount,name,createdAt,lang,likeCount,quoteCount,replyCount,retweetCount,retweettext,retweet/type,retweet/viewCount,retweetCount,text,viewCount
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 12 15:04:18 +0000 2023,,,,,,,,,301,Mems. 🧡 https://t.co/89g5fKDnQ7,578061
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Oct 10 20:08:20 +0000 2023,,,,,,,,,136,me to my coffee: wake me up insiiiiiide. 🎵 https://t.co/mYkvuXpLz2,484049
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Oct 10 15:17:38 +0000 2023,,,,,,,,,416,"Happy 20th bday, PSL! 🧡 To celebrate the drink that makes us feel as warm and fuzzy as a velour tracksuit, let’s go back to the year it all began: 2003. https://t.co/fZcBuQWdAb",429819
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Oct 09 13:06:32 +0000 2023,,,,,,,,,293,"Twenty years ago, our PSL brought fall to all. 🧡 Celebrate with us tomorrow, 10/10, and get a free sheet of our temporary tattoos full of pumpkin love with any purchase of a Pumpkin Spice Latte (hot, iced, blended). At participating stores in U.S. and Canada, while supplies last.",490607
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Oct 05 15:00:03 +0000 2023,,,,,,,,,332,"Pumpkins are orange
Whipped cream is white
A hot PSL
Is an autumn delight 🍂",381118
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Oct 04 19:09:07 +0000 2023,,,,,,,,,404,The math is mathing.,1015582
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Oct 04 17:14:50 +0000 2023,en,176,3,35,55,10/4 is Double Star Day at Starbucks 🌟💫🌟💫🌟💫🌟🤎,tweet,164380,55,RT @Kamifaine: 10/4 is Double Star Day at Starbucks 🌟💫🌟💫🌟💫🌟🤎,164380
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Sep 28 15:00:03 +0000 2023,,,,,,,,,157,Major props to the person who invents a squeegee for getting the pumpkin cream cold foam off the lid.,320357
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Sep 26 15:00:00 +0000 2023,,,,,,,,,340,"""I got you a PSL"" is just another way to make someone FALL in love with you. 🧡",325775
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Sep 20 16:00:03 +0000 2023,,,,,,,,,298,"You know her, you love her. 🧡 https://t.co/6zhNIUyutS",403870
22181,10835906,"Seattle, WA",4141,Starbucks,Mon Sep 18 16:59:53 +0000 2023,,,,,,,,,231,"Oh, you love fall? Are you sweating in your too-thick knitted sweater while drinking a hot PSL?",299243
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Sep 14 18:29:35 +0000 2023,en,522,3,24,105,"If any one needs a pick me up today, Starbucks’ fall drinks are buy one get one after noon every Thursday this month.",tweet,200326,105,"RT @beyondbreyon: If any one needs a pick me up today, Starbucks’ fall drinks are buy one get one after noon every Thursday this month.",200326
