Category: All categories

Region,"Starbucks: (4/25/24, 12:21 AM - 4/26/24, 12:21 AM)"
Hawaii,100
Nevada,97
California,97
Washington,89
Illinois,84
New Mexico,82
Texas,78
Arizona,75
Indiana,73
Florida,72
South Dakota,70
Colorado,70
South Carolina,67
North Carolina,67
Virginia,67
New York,67
Ohio,65
Wisconsin,64
Georgia,64
Connecticut,63
North Dakota,63
Oregon,63
Maryland,63
District of Columbia,63
West Virginia,62
Nebraska,62
Iowa,61
Minnesota,61
Kentucky,60
Missouri,60
Rhode Island,60
Pennsylvania,59
New Jersey,59
Michigan,59
Alabama,58
Massachusetts,58
Tennessee,58
Idaho,57
Kansas,56
Montana,56
Delaware,56
Oklahoma,56
Louisiana,55
Wyoming,54
Alaska,53
Utah,51
New Hampshire,49
Arkansas,47
Mississippi,45
Maine,36
Vermont,36
